episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
220,42.0,-4.116914398290817,-2.118365504639813,-156.73184186707996,-28.493604117296318,4.0,[-28.493604117296318 4.0],1.8153629341480142,False,True,7.439442995219378,14,59.99785047027138,843.146,in_progress,0.0,0
220,43.0,-4.213954602854219,-2.1661481932234334,-155.92999196546657,0.6929459704461252,0.5,[0.6929459704461252 0.5],1.228209860553601,False,True,7.60276183723693,15,59.99785047027138,843.211,in_progress,0.0,0
220,44.0,-4.317368404908099,-2.2021560409026435,-158.5978134465472,-30.0,3.565912345313849,[-30.0 3.565912345313849],1.7267650307009117,False,True,7.77630417701418,15,59.99785047027138,843.282,in_progress,0.0,0
220,45.0,-4.411267626246331,-2.2409161357408514,-158.38255568245862,-30.0,1.3542179999734976,[-30.0 1.3542179999734976],1.2024489599414725,False,True,7.93279981084912,15,59.99785047027138,843.335,in_progress,0.0,0
220,46.0,-4.492591995686126,-2.2659172211146097,-159.6975571134657,-30.0,0.5,[-30.0 0.5],1.0017133140311456,False,True,8.068638193042027,16,59.99785047027138,843.402,in_progress,0.0,0
220,47.0,-4.589211640424369,-2.283645025786679,-163.5496092007871,-30.0,1.270856824795826,[-30.0 1.270856824795826],1.0943468946085042,False,True,8.22988275912548,16,59.99785047027138,843.478,in_progress,0.0,0
220,48.0,-4.685333739932269,-2.290085055538028,-168.22774408643983,-30.0,1.800059776898812,[-30.0 1.800059776898812],1.215625233017592,False,True,8.37385154772577,16,59.99785047027138,843.536,in_progress,0.0,0
220,49.0,-4.769164426148224,-2.2867248769560455,-172.72362233113853,-30.0,0.5,[-30.0 0.5],0.9341124143905548,False,True,8.513557999902424,17,59.99785047027138,843.598,in_progress,0.0,0
220,50.0,-4.856099835449774,-2.2712245982567065,-178.77899049584025,-30.0,2.7152196043273795,[-30.0 2.7152196043273795],1.4266800314775225,False,True,8.660097797870687,17,59.99785047027138,843.667,in_progress,0.0,0
220,51.0,-4.93256732776715,-2.2513061734626367,176.43393290314646,-30.0,2.4956443277677156,[-30.0 2.4956443277677156],1.3810326884916395,False,True,8.779125140402309,18,59.99785047027138,843.743,in_progress,0.0,0
220,52.0,-5.035282782786061,-2.202541962895788,167.37399879446556,-25.37268143219071,0.5,[-25.37268143219071 0.5],1.0370239819240503,False,True,8.9605956935794,19,59.99785047027138,843.802,in_progress,0.0,0
220,53.0,-5.107459236957463,-2.148526878364407,157.67229713583697,-18.385283890692023,4.0,[-18.385283890692023 4.0],1.8811180541105814,False,True,9.089980797143895,19,59.99785047027138,843.867,in_progress,0.0,0
220,54.0,-5.178211690332087,-2.074643290158923,147.30792518718778,-18.77224157096339,0.5,[-18.77224157096339 0.5],1.0467885347152683,False,True,9.234306052416622,20,59.99785047027138,843.943,in_progress,0.0,0
220,55.0,-5.231058882682427,-1.993758310431988,135.36328330570026,-5.086920908222218,0.5,[-5.086920908222218 0.5],1.2032068591357106,False,True,9.354166788652003,20,59.99785047027138,844.003,in_progress,0.0,0
220,56.0,-5.26436889505515,-1.9303032376137328,127.3382258916481,-13.829964537954794,0.5,[-13.829964537954794 0.5],1.2026703660391063,False,True,9.435075503376698,21,59.99785047027138,844.072,in_progress,0.0,0
220,57.0,-5.288815373975461,-1.8721134862400908,122.74531690258198,-8.308044474533396,0.5,[-8.308044474533396 0.5],1.2065539073977773,False,True,9.55394863313884,21,59.99785047027138,844.139,in_progress,0.0,0
220,58.0,-5.304184476162157,-1.8176519465625427,118.94073673709146,30.0,4.0,[30.0 4.0],1.5757158574141679,False,True,9.614965459545354,22,59.99785047027138,844.213,in_progress,0.0,0
220,59.0,-5.319879297886201,-1.7574534726420408,115.5337688550085,30.0,0.5,[30.0 0.5],0.8744359308359745,False,True,9.68044913544968,22,59.99785047027138,844.267,in_progress,0.0,0
220,60.0,-5.344127724205294,-1.713445359035394,114.98491149636034,-30.0,0.5,[-30.0 0.5],0.8752725312264649,False,True,9.770996777854204,22,59.99785047027138,844.338,in_progress,0.0,0
220,61.0,-5.365694536809018,-1.67334759266266,115.35203820622037,30.0,0.5,[30.0 0.5],0.8739874715856898,False,True,9.833447384900158,22,59.99785047027138,844.407,in_progress,0.0,0
220,62.0,-5.388333603174579,-1.6327343769140505,116.1062943773514,-2.1285734525076556,1.1122074796188428,[-2.1285734525076556 1.1122074796188428],0.9662216480034608,False,True,9.897880296620817,23,59.99785047027138,844.479,in_progress,0.0,0
220,63.0,-5.410508035937059,-1.5948996384611815,116.84391194655493,-2.744146562277983,1.8598219958550999,[-2.744146562277983 1.8598219958550999],0.9648278869399256,False,True,9.959513671637941,23,59.99785047027138,844.541,in_progress,0.0,0
220,64.0,-5.428802097847613,-1.5458187115455146,115.46454828675088,30.0,2.8553043929259134,[30.0 2.8553043929259134],0.38839443576659094,False,False,10.098255329931364,23,59.99785047027138,844.605,in_progress,0.0,0
220,65.0,-5.457031178621909,-1.482948911327517,115.23043632144217,-1.2525693084526175,1.9716429516653642,[-1.2525693084526175 1.9716429516653642],0.48657756071587066,False,False,10.194958414999194,24,59.99785047027138,844.682,in_progress,0.0,0
220,66.0,-5.495613378219515,-1.4080867648581934,115.87687674842684,-30.0,0.5,[-30.0 0.5],0.3953553001779968,False,False,10.42866342989204,25,59.99785047027138,844.737,in_progress,0.0,0
220,67.0,-5.521801106632475,-1.3399064418385809,114.70322944511167,-3.1641123424168818,1.2030730105740808,[-3.1641123424168818 1.2030730105740808],0.5031707802754845,False,False,10.692379080854044,25,59.99785047027138,844.81,in_progress,0.0,0
220,68.0,-5.539613328135413,-1.2700868400103813,111.72846765006751,-30.0,0.5,[-30.0 0.5],0.4102988684350141,False,False,10.973109272099215,26,59.99785047027138,844.872,in_progress,0.0,0
220,69.0,-5.547754297683493,-1.2054789891119166,108.04818131345752,-30.0,0.5,[-30.0 0.5],0.4113405635884122,False,False,11.074553635072634,27,59.99785047027138,844.933,in_progress,0.0,0
220,70.0,-5.552373452017338,-1.1469295595505977,104.88010124638042,-30.0,1.2085572404984442,[-30.0 1.2085572404984442],0.4182239098472982,False,False,11.333548701968768,27,59.99785047027138,845.01,in_progress,0.0,0
220,71.0,-5.552002679994302,-1.085052094964241,101.1688533820966,-30.0,2.185708188115423,[-30.0 2.185708188115423],0.41915142122993637,True,False,11.431402397180085,28,59.99785047027138,845.082,off_track,0.0,0
221,1.0,-2.7921379377345126,-2.1727592140399796,-179.97825934747726,-19.098552630898904,4.0,[-19.098552630898904 4.0],0.0,False,True,0.23334169480067474,10,59.99785047027138,845.194,prepare,0.0,0
221,2.0,-2.7921379369529244,-2.1727582917055543,-179.9782753786049,30.0,3.7480816627205837,[30.0 3.7480816627205837],1.1347480255113578,False,True,0.23334169291509693,10,59.99785047027138,845.274,in_progress,0.0,0
221,3.0,-2.7962091037163503,-2.1750936154795175,-179.67039333072117,14.208069158154252,2.612323090652542,[14.208069158154252 2.612323090652542],1.0142204689303143,False,True,0.24012868930682468,10,59.99785047027138,845.339,in_progress,0.0,0
221,4.0,-2.814662065620086,-2.178041558787718,-179.12860623953023,24.207668183129407,3.4384802556168212,[24.207668183129407 3.4384802556168212],0.9942737638389527,False,True,0.2708950360431339,10,59.99785047027138,845.41,in_progress,0.0,0
221,5.0,-2.8521487459220634,-2.190648048972499,-176.31940637607102,-8.784093244492652,3.1606128265905507,[-8.784093244492652 3.1606128265905507],1.1682299464055852,False,True,0.33340317943700015,10,59.99785047027138,845.47,in_progress,0.0,0
221,6.0,-2.8850648048272216,-2.202391890942634,-174.04932639083182,-30.0,3.8985337448632738,[-30.0 3.8985337448632738],1.1140402745676368,False,True,0.38829142742635503,10,59.99785047027138,845.536,in_progress,0.0,0
221,7.0,-2.9491026814804835,-2.202705478292324,-175.46319902325604,-29.34100525786455,1.892929705540836,[-29.34100525786455 1.892929705540836],0.6562735946401549,False,True,0.49502565027047596,10,59.99785047027138,845.602,in_progress,0.0,0
221,8.0,-3.0102456255613426,-2.1823378245711558,178.79550469028845,30.0,2.828668399038714,[30.0 2.828668399038714],0.8985354274883166,False,True,0.5968886188016991,11,59.99785047027138,845.672,in_progress,0.0,0
221,9.0,-3.0838483076685064,-2.161817106580554,174.6879618971569,-3.2654699253509634,0.6535615859224695,[-3.2654699253509634 0.6535615859224695],0.49826612011043897,False,True,0.7195182007945194,11,59.99785047027138,845.734,in_progress,0.0,0
221,10.0,-3.154147284653258,-2.156951601776743,174.9368753564299,-3.886636010549836,1.5751039611470568,[-3.886636010549836 1.5751039611470568],0.796549410104818,False,True,0.8366667698046268,11,59.99785047027138,845.804,in_progress,0.0,0
221,11.0,-3.2349631425267367,-2.1473612884479896,174.3260366537931,-7.645017623914466,0.5,[-7.645017623914466 0.5],0.4996814674436957,False,True,0.9713374095658214,11,59.99785047027138,845.868,in_progress,0.0,0
221,12.0,-3.304993255568133,-2.1351325620226174,173.2190971598384,14.260946015455552,3.6871769525322518,[14.260946015455552 3.6871769525322518],1.472733391075502,False,True,1.0880237372387545,12,59.99785047027138,845.944,in_progress,0.0,0
221,13.0,-3.3781267702698523,-2.12132840930943,172.02554746092508,4.017651097266665,1.9861723343492679,[4.017651097266665 1.9861723343492679],0.9795559069080125,False,True,1.2098781289291107,12,59.99785047027138,846.014,in_progress,0.0,0
221,14.0,-3.476200601275823,-2.11860708065217,174.2548859975289,15.279989984399606,3.502625421378819,[15.279989984399606 3.502625421378819],1.1702589437056135,False,True,1.373453510727904,12,59.99785047027138,846.08,in_progress,0.0,0
221,15.0,-3.56683195773259,-2.1252385701855196,177.8047588427641,10.694142231268216,0.5,[10.694142231268216 0.5],0.5844868737453038,False,True,1.5245153464747503,12,59.99785047027138,846.136,in_progress,0.0,0
221,16.0,-3.6573724283856714,-2.1517349711502045,-174.08851561675363,-24.33743199397979,0.5,[-24.33743199397979 0.5],0.48425997658407294,False,True,1.6754382039851843,13,59.99785047027138,846.216,in_progress,0.0,0
221,17.0,-3.751098622279218,-2.1850994859783515,-164.61747994244115,-30.0,3.133524030863294,[-30.0 3.133524030863294],1.13303419092236,False,True,1.831675113053699,13,59.99785047027138,846.271,in_progress,0.0,0
221,18.0,-3.815115896793328,-2.2033181132478483,-161.36844989624535,-14.867087147827645,1.990418679659754,[-14.867087147827645 1.990418679659754],1.0807620191757754,False,True,1.9386269810715477,13,59.99785047027138,846.337,in_progress,0.0,0
221,19.0,-3.910444383120961,-2.2160300309387586,-162.01245048981983,-30.0,3.5744185803603754,[-30.0 3.5744185803603754],1.2606042384857001,False,True,2.097623849995886,14,59.99785047027138,846.406,in_progress,0.0,0
